t,gnorm
0,
1,
2,
3,
4,
5,
6,inf
7,
8,inf
9,inf
10,0.625493049621582
11,0.8566550612449646
12,0.7646449208259583
13,0.6842936277389526
14,0.8146002888679504
15,0.8117139935493469
16,0.848870575428009
17,0.7689309120178223
18,0.7910405397415161
19,0.7657384276390076
20,inf
21,0.7867394685745239
22,0.7491773962974548
23,1.1160273551940918
24,0.9049251079559326
25,0.6959336400032043
26,0.6958617568016052
27,0.6999174356460571
28,0.9311400651931763
29,0.7919417023658752
30,0.7428590059280396
31,0.8023159503936768
32,0.6952362060546875
33,0.7553783059120178
34,0.8908937573432922
35,0.7501847743988037
36,0.7276039123535156
37,0.8294872641563416
38,0.6857193112373352
39,0.8228922486305237
40,0.8907328248023987
41,0.9748392105102539
42,0.73939448595047
43,0.8720231652259827
44,0.8095603585243225
45,0.8482941389083862
46,0.6384667754173279
47,1.0220422744750977
48,0.7562965154647827
49,0.6761754751205444
50,1.2180235385894775
51,0.7330722212791443
52,0.9636534452438354
53,0.7376324534416199
54,0.8220298886299133
55,1.1110073328018188
56,0.7473304271697998
57,1.6295472383499146
58,0.9215982556343079
59,0.880443274974823
60,0.9249310493469238
61,0.8473699688911438
62,0.9037147164344788
63,0.8655332922935486
64,0.8722736239433289
65,0.7138203978538513
66,0.7957444787025452
67,0.8765078783035278
68,0.8215247988700867
69,1.2573062181472778
70,0.7764989733695984
71,0.9291386604309082
72,1.000115990638733
73,0.9281275272369385
74,1.032543659210205
75,0.8492391109466553
76,0.8662893176078796
77,0.7572116255760193
78,0.9840418696403503
79,0.9379613399505615
80,0.9744859337806702
81,0.9273157715797424
82,0.9724059104919434
83,0.8975927233695984
84,0.9164619445800781
85,1.0182723999023438
86,0.9533430337905884
87,0.9145101308822632
88,1.0279301404953003
89,1.0512739419937134
90,0.9078537225723267
91,2.2232112884521484
92,0.9791035652160645
93,0.8621671199798584
94,1.0803178548812866
95,0.9707982540130615
96,1.3435481786727905
97,1.023270845413208
98,1.1964102983474731
99,1.1423462629318237
100,0.9955628514289856
101,0.9625499844551086
102,1.057427167892456
103,0.9959763288497925
104,1.0136618614196777
105,1.2584245204925537
106,1.0862233638763428
107,1.118470549583435
108,1.008473515510559
109,1.0157185792922974
110,1.1716941595077515
111,1.5101613998413086
112,1.1744524240493774
113,1.1925885677337646
114,1.1482679843902588
115,1.374467372894287
116,1.225313425064087
117,1.0585298538208008
118,0.954688549041748
119,1.0833262205123901
120,1.3114858865737915
121,1.0397323369979858
122,2.2094662189483643
123,1.1457599401474
124,1.0151455402374268
125,1.1061948537826538
126,1.0890706777572632
127,1.035934329032898
128,1.0153746604919434
129,0.9181178212165833
130,1.0897566080093384
131,1.045327067375183
132,0.9852933287620544
133,1.0311042070388794
134,1.0694798231124878
135,1.077092170715332
136,0.9463881254196167
137,1.0416021347045898
138,1.1457749605178833
